Property Name	Property Location	Price	Bedroom	Bathroom	Car Porch	Property Type	Built Up Area	Status
One KL, KLCC	KLCC, Kuala Lumpur	RM 4,200,000(RM 1105.26 per sq. ft.)	4+1	4	2	Condominium | Corner lot 	 Built-up : 3,800 sq. ft. 	 Partly furnished
8th &amp; Stellar, Bandar Baru Sri Petaling, Sri Petaling	Sri Petaling, Kuala Lumpur	RM 528,000(RM 645.48 per sq. ft.)	2+1	2	1	Serviced Residence 	 Built-up : 818 sq. ft.	Unfurnished
Hampshire Park Condominium, Hampshire Park, KLCC	KLCC, Kuala Lumpur	RM 3,500,000(RM 655.31 per sq. ft.)	5+2	6	3	Condominium | Penthouse 	 Built-up : 5,341 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 1,250,000(RM 814.33 per sq. ft.)	3+1	3	3	Condominium | Corner lot 	 Built-up : 1,535 sq. ft. 	 Partly furnished
Millerz Square, Old Klang Road, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 645,900(RM 949.85 per sq. ft.)	2	2	1	Serviced Residence 	 Built-up : 680 sq. ft.	Unfurnished
Millerz Square, Old Klang Road, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 783,900(RM 900 per sq. ft.)	2	2	2	Serviced Residence 	 Built-up : 871 sq. ft.	Unfurnished
One Menerung, Bukit Bandaraya, Bangsar	Bangsar, Kuala Lumpur	RM 4,280,000(RM 1170.04 per sq. ft.)	3+1	5	3	Condominium | Corner lot 	 Built-up : 3,658 sq. ft. 	 Partly furnished
Dua Residency, KLCC	KLCC, Kuala Lumpur	RM 2,980,000(RM 867.79 per sq. ft.)	4+1	5	2	Condominium | Corner lot 	 Built-up : 3,434 sq. ft. 	 Partly furnished
One Menerung, Bukit Bandaraya, Bangsar	Bangsar, Kuala Lumpur	RM 13,000,000(RM 1578.63 per sq. ft.)	5+2	5	5	Condominium 	 Built-up : 8,235 sq. ft.	Unfurnished
Serai, Bukit Bandaraya, Bangsar	Bangsar, Kuala Lumpur	RM 8,450,000(RM 1644.29 per sq. ft.)	4+1	5	6	Condominium 	 Built-up : 5,139 sq. ft.	Unfurnished
Residensi Harmoni 2, Taman Bukit Prima Pelangi, Segambut	Segambut, Kuala Lumpur	RM 820,000(RM 495.17 per sq. ft.)	3+1	3	2	Condominium | Corner lot 	 Built-up : 1,656 sq. ft.	Unfurnished
11 Mont Kiara @ MK11, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 2,700,000(RM 852 per sq. ft.)	4+1	6	3	Condominium 	 Built-up : 3,169 sq. ft. 	 Fully furnished
The Estate, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 1,800,000(RM 767.26 per sq. ft.)	5	5	4	Condominium 	 Built-up : 2,346 sq. ft. 	 Partly furnished
